BudgetBookVersion	Ministry	HeadNumber	HeadName	BudgetYear	DataVersion	DataValue
2024	MINISTRY OF ECONOMY & LABOUR	94	DEPT. OF ECONOMIC DEVELOPMENT	2022	ACTUAL	6798
2024	MINISTRY OF ECONOMY & LABOUR	94	DEPT. OF ECONOMIC DEVELOPMENT	2023	ORIGINAL	8394
2024	MINISTRY OF ECONOMY & LABOUR	94	DEPT. OF ECONOMIC DEVELOPMENT	2023	REVISED	8394
2024	MINISTRY OF ECONOMY & LABOUR	94	DEPT. OF ECONOMIC DEVELOPMENT	2024	ESTIMATE	8426
2024	MINISTRY OF ECONOMY & LABOUR	99	DEPT. OF LABOUR	2022	ACTUAL	0
2024	MINISTRY OF ECONOMY & LABOUR	99	DEPT. OF LABOUR	2023	ORIGINAL	0
2024	MINISTRY OF ECONOMY & LABOUR	99	DEPT. OF LABOUR	2023	REVISED	0
2024	MINISTRY OF ECONOMY & LABOUR	99	DEPT. OF LABOUR	2024	ESTIMATE	1272
2024	MINISTRY OF TRANSPORT	48	MIN. OF TRANSPORT HQ	2022	ACTUAL	22573
2024	MINISTRY OF TRANSPORT	48	MIN. OF TRANSPORT HQ	2023	ORIGINAL	23114
2024	MINISTRY OF TRANSPORT	48	MIN. OF TRANSPORT HQ	2023	REVISED	18147
2024	MINISTRY OF TRANSPORT	48	MIN. OF TRANSPORT HQ	2024	ESTIMATE	15849
2024	MINISTRY OF TRANSPORT	30	MARINE & PORTS	2022	ACTUAL	20455
2024	MINISTRY OF TRANSPORT	30	MARINE & PORTS	2023	ORIGINAL	22054
2024	MINISTRY OF TRANSPORT	30	MARINE & PORTS	2023	REVISED	20860
2024	MINISTRY OF TRANSPORT	30	MARINE & PORTS	2024	ESTIMATE	22996
2024	MINISTRY OF TRANSPORT	34	TRANSPORT CONTROL DEPARTMENT	2022	ACTUAL	4614
2024	MINISTRY OF TRANSPORT	34	TRANSPORT CONTROL DEPARTMENT	2023	ORIGINAL	5206
2024	MINISTRY OF TRANSPORT	34	TRANSPORT CONTROL DEPARTMENT	2023	REVISED	5206
2024	MINISTRY OF TRANSPORT	34	TRANSPORT CONTROL DEPARTMENT	2024	ESTIMATE	5561
2024	MINISTRY OF TRANSPORT	35	PUBLIC TRANSPORTATION	2022	ACTUAL	22784
2024	MINISTRY OF TRANSPORT	35	PUBLIC TRANSPORTATION	2023	ORIGINAL	21977
2024	MINISTRY OF TRANSPORT	35	PUBLIC TRANSPORTATION	2023	REVISED	21977
2024	MINISTRY OF TRANSPORT	35	PUBLIC TRANSPORTATION	2024	ESTIMATE	23840
2024	MINISTRY OF PUBLIC WORKS	36	MIN. OF PUBLIC WORKS HQ	2022	ACTUAL	7042
2024	MINISTRY OF PUBLIC WORKS	36	MIN. OF PUBLIC WORKS HQ	2023	ORIGINAL	6139
2024	MINISTRY OF PUBLIC WORKS	36	MIN. OF PUBLIC WORKS HQ	2023	REVISED	6428
2024	MINISTRY OF PUBLIC WORKS	36	MIN. OF PUBLIC WORKS HQ	2024	ESTIMATE	6327
2024	MINISTRY OF PUBLIC WORKS	53	BERMUDA HOUSING CORP	2022	ACTUAL	6050
2024	MINISTRY OF PUBLIC WORKS	53	BERMUDA HOUSING CORP	2023	ORIGINAL	6550
2024	MINISTRY OF PUBLIC WORKS	53	BERMUDA HOUSING CORP	2023	REVISED	6550
2024	MINISTRY OF PUBLIC WORKS	53	BERMUDA HOUSING CORP	2024	ESTIMATE	6550
2024	MINISTRY OF PUBLIC WORKS	68	PARKS	2022	ACTUAL	8102
