BudgetBookVersion	AnalysisGroup	HeadNumber	RevenueDescription	BudgetYear	DataVersion	DataValue
2023/24	TAXES & DUTIES	38	PASSENGER TAXES	2021/22	ACTUAL	781
2023/24	TAXES & DUTIES	38	PASSENGER TAXES	2022/23	ORIGINAL	12854
2023/24	TAXES & DUTIES	38	PASSENGER TAXES	2022/23	REVISED	19800
2023/24	TAXES & DUTIES	38	PASSENGER TAXES	2023/24	ESTIMATE	27305
2023/24	TAXES & DUTIES	38	STAMP DUTIES	2021/22	ACTUAL	38279
2023/24	TAXES & DUTIES	38	STAMP DUTIES	2022/23	ORIGINAL	27200
2023/24	TAXES & DUTIES	38	STAMP DUTIES	2022/23	REVISED	28255
2023/24	TAXES & DUTIES	38	STAMP DUTIES	2023/24	ESTIMATE	32254
2023/24	TAXES & DUTIES	38	BETTING TAX	2021/22	ACTUAL	262
2023/24	TAXES & DUTIES	38	BETTING TAX	2022/23	ORIGINAL	95
2023/24	TAXES & DUTIES	38	BETTING TAX	2022/23	REVISED	95
2023/24	TAXES & DUTIES	38	BETTING TAX	2023/24	ESTIMATE	15
2023/24	TAXES & DUTIES	38	LAND TAX	2021/22	ACTUAL	84795
2023/24	TAXES & DUTIES	38	LAND TAX	2022/23	ORIGINAL	80000
2023/24	TAXES & DUTIES	38	LAND TAX	2022/23	REVISED	84500
2023/24	TAXES & DUTIES	38	LAND TAX	2023/24	ESTIMATE	87195
2023/24	TAXES & DUTIES	38	FOREIGN CURRENCY PURCHASE TAX	2021/22	ACTUAL	26696
2023/24	TAXES & DUTIES	38	FOREIGN CURRENCY PURCHASE TAX	2022/23	ORIGINAL	24275
2023/24	TAXES & DUTIES	38	FOREIGN CURRENCY PURCHASE TAX	2022/23	REVISED	30800
2023/24	TAXES & DUTIES	38	FOREIGN CURRENCY PURCHASE TAX	2023/24	ESTIMATE	30800
2023/24	TAXES & DUTIES	38	PAYROLL TAX 	2021/22	ACTUAL	460127
2023/24	TAXES & DUTIES	38	PAYROLL TAX 	2022/23	ORIGINAL	453657
2023/24	TAXES & DUTIES	38	PAYROLL TAX 	2022/23	REVISED	479914
2023/24	TAXES & DUTIES	38	PAYROLL TAX 	2023/24	ESTIMATE	512500
2023/24	TAXES & DUTIES	38	HOTEL OCCUPANCY	2021/22	ACTUAL	2719
